stage,method,endpoint,mode,seconds,recorded
tdi_multitask,chemprop_multitask,fold11,full,1300.6,2026-09-15
tdi_multitask,majority_singletask,fold11,full,3.6,2026-09-15
tdi_multitask,lgbm_singletask,fold12,full,5.7,2026-09-15
tdi_multitask,lgbm_multitask,fold12,full,3.1,2026-09-15
tdi_multitask,xgb_singletask,fold12,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold12,full,1.3,2026-09-15
tdi_multitask,tabicl_singletask,fold12,full,15.2,2026-09-15
tdi_multitask,tabicl_multitask,fold12,full,934.0,2026-09-15
tdi_multitask,tabpfn_singletask,fold12,full,20.8,2026-09-15
tdi_multitask,tabpfn_multitask,fold12,full,20.4,2026-09-15
tdi_multitask,chemprop_singletask,fold12,full,2042.2,2026-09-15
tdi_multitask,chemprop_multitask,fold12,full,908.8,2026-09-15
tdi_multitask,majority_singletask,fold12,full,2.7,2026-09-15
tdi_multitask,lgbm_singletask,fold13,full,910.8,2026-09-15
tdi_multitask,lgbm_multitask,fold13,full,4.2,2026-09-15
tdi_multitask,xgb_singletask,fold13,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold13,full,1.3,2026-09-15
tdi_multitask,tabicl_singletask,fold13,full,15.3,2026-09-15
tdi_multitask,tabicl_multitask,fold13,full,14.4,2026-09-15
tdi_multitask,tabpfn_singletask,fold13,full,327.0,2026-09-15
tdi_multitask,tabpfn_multitask,fold13,full,20.8,2026-09-15
tdi_multitask,chemprop_singletask,fold13,full,484.0,2026-09-15
tdi_multitask,chemprop_multitask,fold13,full,77.2,2026-09-15
tdi_multitask,majority_singletask,fold13,full,0.2,2026-09-15
tdi_multitask,lgbm_singletask,fold14,full,5.6,2026-09-15
tdi_multitask,lgbm_multitask,fold14,full,3.0,2026-09-15
tdi_multitask,xgb_singletask,fold14,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold14,full,1.3,2026-09-15
tdi_multitask,tabicl_singletask,fold14,full,13.9,2026-09-15
tdi_multitask,tabicl_multitask,fold14,full,15.2,2026-09-15
tdi_multitask,tabpfn_singletask,fold14,full,21.4,2026-09-15
tdi_multitask,tabpfn_multitask,fold14,full,22.1,2026-09-15
tdi_multitask,chemprop_singletask,fold14,full,80.7,2026-09-15
tdi_multitask,chemprop_multitask,fold14,full,66.7,2026-09-15
tdi_multitask,majority_singletask,fold14,full,0.1,2026-09-15
tdi_multitask,lgbm_singletask,fold15,full,5.4,2026-09-15
tdi_multitask,lgbm_multitask,fold15,full,2.9,2026-09-15
tdi_multitask,xgb_singletask,fold15,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold15,full,1.2,2026-09-15
tdi_multitask,tabicl_singletask,fold15,full,15.7,2026-09-15
tdi_multitask,tabicl_multitask,fold15,full,15.1,2026-09-15
tdi_multitask,tabpfn_singletask,fold15,full,23.2,2026-09-15
tdi_multitask,tabpfn_multitask,fold15,full,22.3,2026-09-15
tdi_multitask,chemprop_singletask,fold15,full,75.7,2026-09-15
tdi_multitask,chemprop_multitask,fold15,full,65.0,2026-09-15
tdi_multitask,majority_singletask,fold15,full,0.2,2026-09-15
tdi_multitask,lgbm_singletask,fold16,full,5.4,2026-09-15
tdi_multitask,lgbm_multitask,fold16,full,2.8,2026-09-15
tdi_multitask,xgb_singletask,fold16,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold16,full,1.3,2026-09-15
tdi_multitask,tabicl_singletask,fold16,full,15.6,2026-09-15
tdi_multitask,tabicl_multitask,fold16,full,14.8,2026-09-15
tdi_multitask,tabpfn_singletask,fold16,full,21.7,2026-09-15
tdi_multitask,tabpfn_multitask,fold16,full,22.0,2026-09-15
tdi_multitask,chemprop_singletask,fold16,full,76.4,2026-09-15
tdi_multitask,chemprop_multitask,fold16,full,66.0,2026-09-15
tdi_multitask,majority_singletask,fold16,full,0.2,2026-09-15
tdi_multitask,lgbm_singletask,fold17,full,5.4,2026-09-15
tdi_multitask,lgbm_multitask,fold17,full,2.9,2026-09-15
tdi_multitask,xgb_singletask,fold17,full,2.0,2026-09-15
