molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_relation,assay_type,assay_chembl_id,document_chembl_id
CHEMBL3706615,COc1cncc(-c2cnc(C(C)(C)N3CCN(C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)N[C@H]4c5ccccc5OC[C@H]4O)[C@H](C(=O)NCC(F)(F)F)C3)o2)c1,4.52,IC50,=,A,CHEMBL660396,CHEMBL1136139
CHEMBL3706621,CC(C)(c1ncc(-c2ccccn2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,4.55,IC50,=,A,CHEMBL660396,CHEMBL1136139
CHEMBL3706613,CC(C)(c1ncc(-c2cccnc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,4.48,IC50,=,A,CHEMBL660396,CHEMBL1136139
CHEMBL319862,CCCCc1ccc(C)c(N/C=N/O)c1,4.62,IC50,=,A,CHEMBL661054,CHEMBL1133849
CHEMBL101180,CC(C)c1ccc(N/C=N/O)cc1,4.52,IC50,=,A,CHEMBL661054,CHEMBL1133849
CHEMBL103651,Cc1ccccc1/N=C/NO,4.11,IC50,=,A,CHEMBL661054,CHEMBL1133849
CHEMBL96347,Cc1cc(C)cc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,4.82,IC50,=,A,CHEMBL660403,CHEMBL1149183
CHEMBL321051,CCCCCCc1ccc(N/C=N/O)cc1,6.52,IC50,=,A,CHEMBL661054,CHEMBL1133849
CHEMBL103320,Cc1ccc(N/C=N/O)cc1,4.10,IC50,=,A,CHEMBL661054,CHEMBL1133849
CHEMBL101168,Nn1nnc2ccccc21,4.37,IC50,=,A,CHEMBL661054,CHEMBL1133849
CHEMBL330354,CCCCc1cccc([C@]2([C@H](Oc3nc(C)cc(C)n3)C(=O)O)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,4.82,IC50,=,A,CHEMBL660403,CHEMBL1149183
CHEMBL100899,CCC(C)c1ccc(N/C=N/O)cc1,4.96,IC50,=,A,CHEMBL661054,CHEMBL1133849
CHEMBL101296,CCc1ccc(N/C=N/O)cc1,4.77,IC50,=,A,CHEMBL661054,CHEMBL1133849
CHEMBL103313,CCCCc1ccc(N/C=N/O)cc1,5.06,IC50,=,A,CHEMBL661054,CHEMBL1133849
CHEMBL445120,ON/C=N/c1ccc(Cc2ccccc2)cc1,4.77,IC50,=,A,CHEMBL661054,CHEMBL1133849
CHEMBL267865,CCCCc1ccc(/N=C/NO)c(C)c1,5.48,IC50,=,A,CHEMBL661054,CHEMBL1133849
CHEMBL100917,CCCCc1ccccc1/N=C/NO,4.38,IC50,=,A,CHEMBL661054,CHEMBL1133849
CHEMBL317798,CCCOc1ccc(N/C=N/O)cc1,4.46,IC50,=,A,CHEMBL661054,CHEMBL1133849
CHEMBL319754,Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3cccc(-c4ccccc4)c3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)n1,4.55,IC50,=,A,CHEMBL660403,CHEMBL1149183
CHEMBL262968,c1cncc(CCCOc2ccc(-n3ccnc3)cc2)c1,6.73,IC50,=,A,CHEMBL660400,CHEMBL1137944
CHEMBL114555,CCOC(=O)N1CCN(CCOc2ccc(-n3ccnc3)cc2)CC1,5.84,IC50,=,A,CHEMBL660400,CHEMBL1137944
CHEMBL113018,c1cn(-c2ccc(OCCN3CCOCC3)cc2)cn1,5.74,IC50,=,A,CHEMBL660400,CHEMBL1137944
CHEMBL325429,CN(C)CCOc1ccc(-n2ccnc2)cc1,4.40,IC50,=,A,CHEMBL660400,CHEMBL1137944
CHEMBL113227,c1cc(CCCOc2ccc(-n3ccnc3)cc2)ccn1,7.00,IC50,=,A,CHEMBL660400,CHEMBL1137944
CHEMBL114297,CN(C)CCCOc1ccc(-n2ccnc2)cc1,4.48,IC50,=,A,CHEMBL660400,CHEMBL1137944
CHEMBL115876,c1ccc(CCCOc2ccc(-n3ccnc3)cc2)nc1,6.89,IC50,=,A,CHEMBL660400,CHEMBL1137944
CHEMBL112532,CCCCOc1ccc(-n2ccnc2)cc1,7.02,IC50,=,A,CHEMBL660400,CHEMBL1137944
CHEMBL113275,CN(C)CCCCCCOc1ccc(-n2ccnc2)cc1,4.48,IC50,=,A,CHEMBL660400,CHEMBL1137944
CHEMBL112592,c1ccc(COc2ccc(-n3ccnc3)cc2)nc1,6.89,IC50,=,A,CHEMBL660400,CHEMBL1137944
CHEMBL14460,Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,4.64,IC50,=,A,CHEMBL660391,CHEMBL1132976
CHEMBL14276,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2,4.09,IC50,=,A,CHEMBL660391,CHEMBL1132976
CHEMBL444533,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccccc3)o2)C[C@H]1C(=O)NCC(F)(F)F,4.08,IC50,=,A,CHEMBL660399,CHEMBL1136245
CHEMBL114756,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccncc3)o2)C[C@H]1C(=O)NCC(F)(F)F,5.26,IC50,=,A,CHEMBL660399,CHEMBL1136245
CHEMBL326849,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccncc1)C[C@H](O)CN1CCN(CC2=CC3C=CSC3S2)C[C@H]1C(=O)NCC(F)(F)F,5.07,IC50,=,A,CHEMBL660399,CHEMBL1136245
CHEMBL419396,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(CC2=CC3C=CSC3S2)C[C@H]1C(=O)NCC(F)(F)F,4.71,IC50,=,A,CHEMBL660399,CHEMBL1136245
CHEMBL324461,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2cc3ccccc3o2)C[C@H]1C(=O)NCC(F)(F)F,4.31,IC50,=,A,CHEMBL660399,CHEMBL1136245
CHEMBL321814,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2cc3cccc(Cl)c3o2)C[C@H]1C(=O)NCC(F)(F)F,4.56,IC50,=,A,CHEMBL660398,CHEMBL1136245
CHEMBL355905,CSc1nc2ccccn2c(=N)c1S(=O)(=O)c1ccccc1,4.62,IC50,=,A,CHEMBL660393,CHEMBL1145753
CHEMBL2115268,C[C@H](O)C[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,5.52,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL2114286,C[C@H](O)C[C@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,6.40,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL521,CC(C)Cc1ccc(C(C)C(=O)O)cc1,4.30,Ki,=,A,CHEMBL840930,CHEMBL1133779
CHEMBL421841,CCN1c2ncc(CSc3cc(C)nc(C)c3)cc2C(=O)Nc2c(C)ccnc21,5.13,IC50,=,A,CHEMBL663982,CHEMBL1137947
CHEMBL2115267,CC[C@@H](c1ccccc1)c1c(OC)c2ccccc2oc1=O,5.22,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL1109,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,6.70,Ki,=,A,CHEMBL840930,CHEMBL1133779
CHEMBL2114281,CC[C@H](c1ccccc1)c1c(OC)oc2ccccc2c1=O,4.85,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL317083,C#Cc1ccc(S(=O)(=O)NC(=O)NCc2ccccc2)cc1,4.60,Ki,=,A,CHEMBL840930,CHEMBL1133779
CHEMBL94536,C#Cc1ccc(S(=O)(=O)Nc2cc(C)on2)cc1,5.52,Ki,=,A,CHEMBL840930,CHEMBL1133779
CHEMBL352395,CO[C@@]1(C)C[C@@H](c2ccccc2)c2c(c3ccccc3oc2=O)O1,5.16,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL164261,CCN1c2ncc(CSc3cc(C)nc(C)c3)cc2C(=O)Nc2c(C)cc(Cl)nc21,5.58,IC50,=,A,CHEMBL661227,CHEMBL1137947
CHEMBL94358,C#Cc1ccc2oc(O)c(C(C(C)=O)c3ccccc3)c(=O)c2c1,5.82,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL94767,[N-]=[N+]=Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,6.40,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL2115262,CO[C@]1(C)C[C@@H](c2ccccc2)c2c(c3ccccc3oc2=O)O1,4.70,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL96608,Cc1ccc(C)c(OCC(C)(C)C(=O)O)c1,4.82,Ki,=,A,CHEMBL840930,CHEMBL1133779
CHEMBL162383,CCN1c2ncc(CSc3cc(C)nc(C)c3)cc2C(=O)Nc2c(C)cc(F)nc21,5.35,IC50,=,A,CHEMBL661227,CHEMBL1137947
CHEMBL2114283,C[C@@H](O)C[C@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,5.52,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL2115260,COc1oc2ccccc2c(=O)c1[C@@H](CC(C)=O)c1ccccc1,4.68,Ki,=,A,CHEMBL840930,CHEMBL1133779
CHEMBL96214,O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1,5.70,Ki,=,A,CHEMBL840930,CHEMBL1133779
CHEMBL16,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,5.00,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL1466,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,6.22,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL2114284,COc1c([C@H](CC(C)=O)c2ccccc2)c(=O)oc2ccccc12,5.00,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL2115263,CC1(O)C[C@@H](c2ccccc2)c2c(c3ccccc3oc2=O)O1,4.60,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL2115265,CC[C@@H](c1ccccc1)c1c(OC)oc2ccccc2c1=O,7.00,Ki,=,A,CHEMBL661223,CHEMBL1133779
