molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_relation,assay_type,assay_chembl_id,document_chembl_id
CHEMBL15245,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,6.64,Ki,=,A,CHEMBL729201,CHEMBL1126649
CHEMBL15245,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,6.28,Ki,=,A,CHEMBL758056,CHEMBL1126649
CHEMBL15245,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,6.85,Ki,=,A,CHEMBL729203,CHEMBL1126649
CHEMBL15245,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,6.72,Ki,=,A,CHEMBL729205,CHEMBL1126649
CHEMBL15245,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,6.75,Ki,=,A,CHEMBL729204,CHEMBL1126649
CHEMBL277382,CC(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,8.32,Ki,=,A,CHEMBL754768,CHEMBL1126649
CHEMBL122270,CN1[C@@H](CC(=O)c2ccccc2)CCC[C@H]1C[C@H](O)c1ccccc1,6.92,Ki,=,A,CHEMBL754768,CHEMBL1126649
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.16,Ki,=,A,CHEMBL754768,CHEMBL1126649
CHEMBL1202344,C=CC1C[N+]2(c3ccccc3)CCC1CC2C(O)c1ccnc2ccc(OC)cc12.[Cl-],4.60,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL2092739,CCC1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,7.18,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL3559488,COC(=O)C1=CO[C@@H](C)[C@H]2C[n+]3ccc4c([nH]c5ccccc54)c3C[C@H]12,5.66,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL14485,COc1ccc2[nH]cc(CCO)c2c1,4.00,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL170,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,4.68,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL170,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,5.34,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL170,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,5.26,Ki,=,A,CHEMBL729201,CHEMBL1126649
