method,endpoint,potency_bin,mean_bias,mae,mean_true,n
lgbm,CYP2D6_pIC50_direct_inhibition,bin2,0.09744649640685932,0.4360110449994671,4.641717922861364,2200
lgbm,CYP2D6_pIC50_direct_inhibition,bin3,-0.24358962709700255,0.4555772410250747,5.099903659706081,1480
lgbm,CYP2D6_pIC50_direct_inhibition,bin4,-0.8520345839465769,0.8854048949117168,5.910856875153153,1665
lgbm,CYP3A4_pIC50_direct_inhibition,bin0,0.7053797416839624,0.8237430763754465,2.8516247102080783,4085
lgbm,CYP3A4_pIC50_direct_inhibition,bin1,-0.05078312454685752,0.4654363414795678,4.152234412289827,2605
lgbm,CYP3A4_pIC50_direct_inhibition,bin2,-0.44684078584617976,0.5737997945660516,4.675880235036082,1940
lgbm,CYP3A4_pIC50_direct_inhibition,bin3,-0.5182928576480034,0.6026838427516498,5.079501119289326,1780
lgbm,CYP3A4_pIC50_direct_inhibition,bin4,-0.9082174756801084,0.9245804975578134,5.725896021264822,1265
mean,CYP1A2_pIC50_direct_inhibition,bin0,2.006412184637164,2.006412184637164,2.949924486278075,935
mean,CYP1A2_pIC50_direct_inhibition,bin1,0.8203539284381323,0.8203539284381323,4.134805832133803,710
mean,CYP1A2_pIC50_direct_inhibition,bin2,0.2494861637538359,0.2494861637538359,4.706432497777778,720
mean,CYP1A2_pIC50_direct_inhibition,bin3,-0.15024543737868387,0.16440974580319243,5.105330794340426,2115
mean,CYP1A2_pIC50_direct_inhibition,bin4,-0.8995619038135663,0.8995619038135663,5.854612148437985,2580
mean,CYP2C9_pIC50_direct_inhibition,bin0,1.3002697219068766,1.3002697219068766,3.281675393756757,925
mean,CYP2C9_pIC50_direct_inhibition,bin1,0.4054425206620421,0.4054425206620421,4.175897671497006,1670
mean,CYP2C9_pIC50_direct_inhibition,bin2,-0.08609459830322085,0.11709913923082074,4.666572401246246,1665
mean,CYP2C9_pIC50_direct_inhibition,bin3,-0.5030212273627144,0.5030212273627144,5.08405748,1150
mean,CYP2C9_pIC50_direct_inhibition,bin4,-1.1403710509571885,1.1403710509571885,5.719638557881773,1015
mean,CYP2D6_pIC50_direct_inhibition,bin0,2.242604956299828,2.242604956299828,2.5431113255431037,580
mean,CYP2D6_pIC50_direct_inhibition,bin1,0.47421751986097876,0.47421751986097876,4.310292216896104,1540
mean,CYP2D6_pIC50_direct_inhibition,bin2,0.14228797443049715,0.1553447271870647,4.641717922861364,2200
mean,CYP2D6_pIC50_direct_inhibition,bin3,-0.3156156527712192,0.3156156527712192,5.099903659706081,1480
mean,CYP2D6_pIC50_direct_inhibition,bin4,-1.127393106877265,1.127393106877265,5.910856875153153,1665
mean,CYP3A4_pIC50_direct_inhibition,bin0,1.2450411949731675,1.2450411949731675,2.8516247102080783,4085
mean,CYP3A4_pIC50_direct_inhibition,bin1,-0.05611564303860159,0.16904670002636757,4.152234412289827,2605
mean,CYP3A4_pIC50_direct_inhibition,bin2,-0.5802446431445711,0.5802446431445711,4.675880235036082,1940
mean,CYP3A4_pIC50_direct_inhibition,bin3,-0.9836956344855023,0.9836956344855023,5.079501119289326,1780
mean,CYP3A4_pIC50_direct_inhibition,bin4,-1.630089892773279,1.630089892773279,5.725896021264822,1265
ridge,CYP1A2_pIC50_direct_inhibition,bin0,1.555955992562052,1.6352195986138705,2.949924486278075,935
ridge,CYP1A2_pIC50_direct_inhibition,bin1,0.48807635030238583,0.9171799797992178,4.134805832133803,710
ridge,CYP1A2_pIC50_direct_inhibition,bin2,0.025064444282213078,0.8004595132136544,4.706432497777778,720
ridge,CYP1A2_pIC50_direct_inhibition,bin3,-0.14298812331846156,0.8445543643674724,5.105330794340426,2115
ridge,CYP1A2_pIC50_direct_inhibition,bin4,-0.6155433388175775,0.9793600942598762,5.854612148437985,2580
ridge,CYP2C9_pIC50_direct_inhibition,bin0,0.8862613829975422,1.0010114209081495,3.281675393756757,925
ridge,CYP2C9_pIC50_direct_inhibition,bin1,0.25394475451751697,0.5938026943910124,4.175897671497006,1670
ridge,CYP2C9_pIC50_direct_inhibition,bin2,-0.08578272479059323,0.5823413094541267,4.666572401246246,1665
