method,endpoint,potency_bin,mean_bias,mae,mean_true,n
selection,CYP2C9_pIC50_direct_inhibition,bin0,0.5904119601891892,0.6658851475600001,3.281675393756757,925
selection,CYP2C9_pIC50_direct_inhibition,bin1,0.18157189916167663,0.4179506401293413,4.175897671497006,1670
selection,CYP2C9_pIC50_direct_inhibition,bin2,-0.02326525794294296,0.3460384455573574,4.666572401246246,1665
selection,CYP2C9_pIC50_direct_inhibition,bin3,-0.2294195176521739,0.3459751763443478,5.08405748,1150
selection,CYP2C9_pIC50_direct_inhibition,bin4,-0.5987455130541872,0.6180264743605911,5.719638557881773,1015
selection,CYP2D6_pIC50_direct_inhibition,bin0,1.9137613873879311,1.914065104501724,2.5431113255431037,580
selection,CYP2D6_pIC50_direct_inhibition,bin1,0.3097143463506493,0.4122602727623376,4.310292216896104,1540
selection,CYP2D6_pIC50_direct_inhibition,bin2,0.10569052254772726,0.34683546830045453,4.641717922861364,2200
selection,CYP2D6_pIC50_direct_inhibition,bin3,-0.22897269362499997,0.37713411104121625,5.099903659706081,1480
selection,CYP2D6_pIC50_direct_inhibition,bin4,-0.82900857196997,0.8537371861417418,5.910856875153153,1665
selection,CYP3A4_pIC50_direct_inhibition,bin0,0.40955461400244797,0.6044067669517748,2.8516247102080783,4085
selection,CYP3A4_pIC50_direct_inhibition,bin1,-0.0034234159750479907,0.44064480032053743,4.152234412289827,2605
selection,CYP3A4_pIC50_direct_inhibition,bin2,-0.2155676915824742,0.4389976501329897,4.675880235036082,1940
selection,CYP3A4_pIC50_direct_inhibition,bin3,-0.3014436922668539,0.41266554774887637,5.079501119289326,1780
selection,CYP3A4_pIC50_direct_inhibition,bin4,-0.6085689964426877,0.6416351309992094,5.725896021264822,1265
